Date, Open, High, Low, Close, Volume
10/25/19, 139.34, 141.14, 139.20, 140.73, 25959721
10/24/19, 139.39, 140.42, 138.67, 139.94, 37278398
10/23/19, 136.88, 137.45, 135.61, 137.24, 31380311
10/22/19, 138.97, 140.01, 136.26, 136.37, 27935270
10/21/19, 138.45, 138.50, 137.01, 138.43, 20716039
10/18/19, 139.76, 140.00, 136.56, 137.41, 32284430
10/17/19, 140.95, 141.42, 139.02, 139.69, 22102801
10/16/19, 140.79, 140.99, 139.53, 140.41, 20841689
10/15/19, 140.06, 141.79, 139.81, 141.575, 19917760
10/14/19, 139.69, 140.29, 139.52, 139.55, 13591640
10/11/19, 140.12, 141.03, 139.50, 139.68, 25551070
10/10/19, 138.49, 139.6699, 138.25, 139.10, 18396609
10/09/19, 137.46, 138.70, 136.97, 138.24, 20178480
10/08/19, 137.08, 137.76, 135.62, 135.67, 26783340
10/07/19, 137.14, 138.18, 137.02, 137.12, 16601279
10/04/19, 136.75, 138.25, 136.42, 138.12, 23839551
10/03/19, 134.95, 136.75, 133.22, 136.28, 26379801
10/02/19, 136.25, 136.37, 133.5799, 134.65, 32001760
10/01/19, 139.66, 140.25, 137.00, 137.07, 22581930
09/30/19, 138.05, 139.215, 137.78, 139.03, 18430391
09/27/19, 140.15, 140.36, 136.645, 137.73, 22498961
09/26/19, 139.44, 140.18, 138.44, 139.54, 17813510
09/25/19, 137.50, 139.958, 136.03, 139.36, 22544051
09/24/19, 140.36, 140.69, 136.88, 137.38, 30016670
09/23/19, 139.23, 139.63, 138.44, 139.14, 17408369
09/20/19, 141.01, 141.65, 138.25, 139.44, 40040770
09/19/19, 140.30, 142.37, 140.0736, 141.07, 36095406
09/18/19, 137.36, 138.67, 136.5299, 138.52, 24473391
09/17/19, 136.96, 137.52, 136.425, 137.39, 17976289
09/16/19, 135.83, 136.70, 135.66, 136.33, 16731439
09/13/19, 137.78, 138.06, 136.57, 137.32, 23363061
09/12/19, 137.85, 138.42, 136.87, 137.52, 27009980
09/11/19, 135.91, 136.27, 135.09, 136.12, 24726119
09/10/19, 136.80, 136.8862, 134.51, 136.08, 28903381
09/09/19, 139.59, 139.75, 136.46, 137.52, 25773930
09/06/19, 140.03, 140.18, 138.20, 139.10, 20824500
09/05/19, 139.11, 140.3837, 138.76, 140.05, 26119520
09/04/19, 137.30, 137.69, 136.48, 137.63, 18015311
09/03/19, 136.61, 137.20, 135.70, 136.04, 18880770
